scenario,slice,group,metric,block_dates,draws,mean_delta,ci_low,ci_high
no_same_day_receipt,currency_year,KZT:2025,auc,50,500,0.01806283030048726,-0.020893881009380517,0.059273989570472835
no_same_day_receipt,currency_year,KZT:2026,brier,20,500,-0.002875392122019737,-0.004962208684480596,-0.0012319195589319803
no_same_day_receipt,currency_year,KZT:2026,logloss,20,500,-0.012903471547540181,-0.022349980029150524,-0.005550239777024995
no_same_day_receipt,currency_year,KZT:2026,auc,20,500,0.07748992046618537,0.02802857721234086,0.13140324352047453
no_same_day_receipt,currency_year,KZT:2026,brier,50,500,-0.0030063770497052735,-0.0044154443114457565,-0.0016586819562932566
no_same_day_receipt,currency_year,KZT:2026,logloss,50,500,-0.013471148712663073,-0.01953875542257266,-0.007713271988463767
no_same_day_receipt,currency_year,KZT:2026,auc,50,500,0.07876161802558193,0.04178736456444788,0.12544264799857857
no_same_day_receipt,currency_year,TJS:2025,brier,20,500,-0.0024101466938464488,-0.0037823529525437974,-0.0011384551573466871
no_same_day_receipt,currency_year,TJS:2025,logloss,20,500,-0.008223278559876685,-0.01319790265930346,-0.0038094558384060297
no_same_day_receipt,currency_year,TJS:2025,auc,20,500,0.06632985808700263,0.01682749203998973,0.12171078490506407
no_same_day_receipt,currency_year,TJS:2025,brier,50,500,-0.0024837413191488244,-0.003981875705675316,-0.0009618580637177092
no_same_day_receipt,currency_year,TJS:2025,logloss,50,500,-0.008479934118613868,-0.013587631971498313,-0.003285177034770189
no_same_day_receipt,currency_year,TJS:2025,auc,50,500,0.06719679249697666,0.020435494287492167,0.11926268032686163
no_same_day_receipt,currency_year,TJS:2026,brier,20,500,-0.0014138239339801602,-0.0052938432491717955,0.0013799625979100565
no_same_day_receipt,currency_year,TJS:2026,logloss,20,500,-0.005446228678500761,-0.020211488784405783,0.005221786044262035
no_same_day_receipt,currency_year,TJS:2026,auc,20,500,0.0415080973807871,-0.04503134853603604,0.1475543094785651
no_same_day_receipt,currency_year,TJS:2026,brier,50,500,-0.0013552816096282705,-0.0052023869553017585,0.0012743008929308325
no_same_day_receipt,currency_year,TJS:2026,logloss,50,500,-0.005225832452150791,-0.019723875524670892,0.004715758367220838
no_same_day_receipt,currency_year,TJS:2026,auc,50,500,0.03684394435519026,-0.050057001382510055,0.13731559573235422
no_same_day_receipt,currency_year,UZS:2025,brier,20,500,-0.0015554211465683941,-0.0030909591730274313,-0.000278844946369763
no_same_day_receipt,currency_year,UZS:2025,logloss,20,500,-0.005528180641965122,-0.011191740926388569,-0.0011941252333873074
no_same_day_receipt,currency_year,UZS:2025,auc,20,500,0.025948919405062186,0.0013619476405552667,0.06147585763922109
no_same_day_receipt,currency_year,UZS:2025,brier,50,500,-0.0015234757119017245,-0.0033250626175159344,0.00011476684456584986
no_same_day_receipt,currency_year,UZS:2025,logloss,50,500,-0.005416959705740993,-0.011679877409917562,0.00029498283248749783
no_same_day_receipt,currency_year,UZS:2025,auc,50,500,0.02470015897054013,-0.0066896332230672526,0.05673049098759237
no_same_day_receipt,currency_year,UZS:2026,brier,20,500,-0.0026836650390934034,-0.006509926413889162,0.00015172401807295554
no_same_day_receipt,currency_year,UZS:2026,logloss,20,500,-0.010681676111972219,-0.02623117349008019,0.0006016637073702994
no_same_day_receipt,currency_year,UZS:2026,auc,20,500,0.04630919038450612,-0.02395954314797018,0.13764491255072728
no_same_day_receipt,currency_year,UZS:2026,brier,50,500,-0.0028705757994913405,-0.005929437093014123,1.587389692486289e-05
no_same_day_receipt,currency_year,UZS:2026,logloss,50,500,-0.011425125375523017,-0.023611403573955282,-7.227010313600295e-05
no_same_day_receipt,currency_year,UZS:2026,auc,50,500,0.04110161857411856,-0.02242905995832719,0.10129673162276377
