policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,year
train_score_q20,1235,544,0.4404858299595142,2.151412429378531,0.3781376518218624,0.4338235294117647,1.147263509258093,1.1474171262044905,1.05989629894511,47.97396250530352,2023
train_score_q20,1240,334,0.2693548387096774,1.3209039548022599,0.3379032258064516,0.4311377245508982,1.2759207122747347,1.2258468244610938,1.0454545454545454,42.46741021876503,2024
train_score_q20,1235,184,0.14898785425101216,0.7256338028169015,0.22186234817813766,0.33152173913043476,1.4942676927959377,1.4070452342716435,1.1201814058956914,22.402493962205746,2025
train_score_q20,780,66,0.08461538461538462,0.4125,0.3423076923076923,0.6363636363636364,1.8590398365679264,1.8563962848297215,1.2631578947368423,99.22667409616604,2026
train_score_q30,325,224,0.6892307692307692,3.446153846153847,0.40307692307692305,0.4330357142857143,1.0743252453653218,1.0834261397233294,1.0,92.60207086131585,2022
train_score_q30,1235,686,0.5554655870445344,2.7129943502824863,0.3781376518218624,0.4314868804664723,1.141084148556945,1.1383499021974277,1.04,46.82469569350593,2023
train_score_q30,1240,497,0.40080645161290324,1.9655367231638414,0.3379032258064516,0.39436619718309857,1.1670980537160913,1.13108569260081,0.8902323823918383,32.96245149362066,2024
train_score_q30,1235,293,0.23724696356275304,1.1554929577464788,0.22186234817813766,0.3037542662116041,1.3691113823771206,1.3633522685443034,0.8543756485645104,11.767620245931875,2025
train_score_q30,780,122,0.1564102564102564,0.7625,0.3423076923076923,0.6311475409836066,1.8438018051206484,1.8755458937198064,1.2163742690058479,120.82975492449282,2026
train_score_q40,325,239,0.7353846153846154,3.676923076923077,0.40307692307692305,0.4309623430962343,1.0691813855440928,1.0786466637278536,1.0106382978723403,93.16041459219448,2022
train_score_q40,1235,824,0.6672064777327935,3.2587570621468935,0.3781376518218624,0.40898058252427183,1.0815653520716824,1.0818414081310073,1.0130735708792618,38.07621156348517,2023
train_score_q40,1240,610,0.49193548387096775,2.4124293785310735,0.3379032258064516,0.3901639344262295,1.1546617629797722,1.1359675328255003,1.0153743315508021,31.058452814879345,2024
train_score_q40,1235,417,0.33765182186234816,1.644507042253521,0.22186234817813766,0.2733812949640288,1.2322113112429764,1.2376400020703815,0.8205980066445183,-7.140106910113003,2025
train_score_q40,780,195,0.25,1.21875,0.3423076923076923,0.5743589743589743,1.6779026217228463,1.6834844857694662,0.9122807017543859,106.69387614369018,2026
past_oof_previous_fold_q15,955,18,0.018848167539267015,0.09230769230769231,0.34659685863874345,0.4444444444444444,1.2823094998321585,1.4433747412008282,0.0,1.5099520005077711,2023
past_oof_previous_fold_q15,1240,301,0.24274193548387096,1.1903954802259886,0.3379032258064516,0.40863787375415284,1.209334041659068,1.2086945376148757,0.929070929070929,36.560189287888825,2024
past_oof_previous_fold_q15,1235,207,0.16761133603238867,0.816338028169014,0.22186234817813766,0.33816425120772947,1.5242074826333791,1.4834915958879595,1.1026785714285714,29.54591766098899,2025
past_oof_previous_fold_q15,780,140,0.1794871794871795,0.875,0.3423076923076923,0.6071428571428571,1.7736757624398072,1.7897749313996454,1.368421052631579,111.91195608466096,2026
past_oof_expanding_q15,955,2,0.0020942408376963353,0.010256410256410256,0.34659685863874345,1.0,2.8851963746223563,3.0317460317460316,3.0317460317460316,242.45662971530334,2023
past_oof_expanding_q15,1240,62,0.05,0.24519774011299433,0.3379032258064516,0.3870967741935484,1.1455847255369929,1.1101884345854431,0.9393939393939393,43.81159573529239,2024
past_oof_expanding_q15,1235,77,0.062348178137651825,0.30366197183098587,0.22186234817813766,0.38961038961038963,1.7560906247037633,1.603316101676598,0.8981818181818182,36.43230751915667,2025
past_oof_expanding_q15,780,17,0.021794871794871794,0.10625,0.3423076923076923,0.6470588235294118,1.8902842035690681,1.811078947368421,1.5,82.48752112668426,2026
past_oof_rolling_120_q15,955,44,0.04607329842931937,0.22564102564102564,0.34659685863874345,0.5909090909090909,1.7048887668223016,1.8938923794749545,0.9362745098039216,65.18100157533473,2023
past_oof_rolling_120_q15,1240,235,0.18951612903225806,0.9293785310734464,0.3379032258064516,0.40425531914893614,1.196364190321434,1.188852577425822,1.0440107156525067,26.493269820940608,2024
past_oof_rolling_120_q15,1235,205,0.1659919028340081,0.8084507042253521,0.22186234817813766,0.32195121951219513,1.451130496706427,1.4143372180550025,1.2048780487804878,22.987112602147917,2025
