period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,update_1630,20,model,20,248,-97.20281578621841,-191.98942590681304,-15.959849064865326,0.993
screen_2024,update_1630,20,model,50,248,-97.20281578621841,-212.97474954949126,2.315223829329322,0.97
screen_2024,update_1630,20,prior,20,248,16.75753136283594,-7.490045130357649,45.901043158902326,0.12
screen_2024,update_1630,20,prior,50,248,16.75753136283594,-8.462678471734364,54.7150183650403,0.194
screen_2024,update_1730,20,model,20,248,-105.11084255980114,-197.8874321690473,-28.556861786679224,0.994
screen_2024,update_1730,20,model,50,248,-105.11084255980114,-224.31824344437928,-5.740019622553528,0.985
screen_2024,update_1730,20,prior,20,248,17.361097877989792,-8.044783933562133,48.210191572750986,0.117
screen_2024,update_1730,20,prior,50,248,17.361097877989792,-9.585696428692819,57.874568404386864,0.179
opened_2025_2026,cutoff_1030,1,model,20,408,1.5047599157897862,-1.3287977832451925,4.715536548532599,0.169
opened_2025_2026,cutoff_1030,1,model,50,408,1.5047599157897862,-1.4268617902021472,5.189436428947108,0.171
opened_2025_2026,cutoff_1030,1,prior,20,408,-13.675310014259919,-16.579655409937853,-10.548555519869549,1.0
opened_2025_2026,cutoff_1030,1,prior,50,408,-13.675310014259919,-16.882647033650105,-10.343921407537557,1.0
opened_2025_2026,cutoff_1130,1,model,20,408,2.6184961046090143,-0.5112250157287976,6.079913289927267,0.055
opened_2025_2026,cutoff_1130,1,model,50,408,2.6184961046090143,-0.6458413510900347,6.360356951097409,0.076
opened_2025_2026,cutoff_1130,1,prior,20,408,-14.846539001868095,-18.111200857991815,-11.74849744795547,1.0
opened_2025_2026,cutoff_1130,1,prior,50,408,-14.846539001868095,-17.900132697394643,-11.467537040906903,1.0
opened_2025_2026,cutoff_1230,1,model,20,408,2.74338424280087,-0.4476776234543816,6.36422697911564,0.047
opened_2025_2026,cutoff_1230,1,model,50,408,2.74338424280087,-0.647423450971993,6.600696302653971,0.064
opened_2025_2026,cutoff_1230,1,prior,20,408,-14.949440826112234,-17.796850148292158,-11.829703351341477,1.0
opened_2025_2026,cutoff_1230,1,prior,50,408,-14.949440826112234,-18.29494129820386,-11.438895372315141,1.0
opened_2025_2026,cutoff_1330,1,model,20,408,2.7445730035295366,-0.27586773874888776,6.415739377173248,0.042
opened_2025_2026,cutoff_1330,1,model,50,408,2.7445730035295366,-0.5771978956381969,6.556964892403014,0.059
opened_2025_2026,cutoff_1330,1,prior,20,408,-14.968413885405875,-17.97281842226654,-11.821763062018803,1.0
opened_2025_2026,cutoff_1330,1,prior,50,408,-14.968413885405875,-18.68573144352098,-11.017915547890473,1.0
opened_2025_2026,cutoff_1430,1,model,20,408,2.8503280888768985,-0.07461866741528186,6.244836845396678,0.029
opened_2025_2026,cutoff_1430,1,model,50,408,2.8503280888768985,-0.21692322387429994,6.521756269241777,0.036
opened_2025_2026,cutoff_1430,1,prior,20,408,-15.217240089506722,-18.411034245076966,-11.89163950031928,1.0
opened_2025_2026,cutoff_1430,1,prior,50,408,-15.217240089506722,-19.025376566699304,-11.56749918196128,1.0
opened_2025_2026,cutoff_1500,1,model,20,408,2.8035098601090964,-0.30978264463584715,6.1044858822596275,0.037
opened_2025_2026,cutoff_1500,1,model,50,408,2.8035098601090964,-0.21346000491683306,6.011891372615586,0.042
opened_2025_2026,cutoff_1500,1,prior,20,408,-15.190049488145704,-18.195994677811193,-12.054960597760775,1.0
