state,h,origin,n_train,n_query,selected_weight,mae_weight_0,mae_weight_0.25,mae_weight_0.5,mae_weight_0.75,mae_weight_1,last_target_maturity
cutoff_1530,3,2026-07-01,2450,230,0.5,97.5738032253484,88.97709530916526,84.95684483785261,85.24670980879729,89.06591902643548,2026-06-27
update_1630,3,2023-01-01,0,280,0.0,,,,,,
update_1630,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
update_1630,3,2023-07-01,560,330,0.25,93.42212840962254,86.72035456420383,87.00187929126042,93.22896822524967,104.37050621359751,2023-06-28
update_1630,3,2023-10-01,890,320,0.25,101.74536667376903,93.19322203143875,94.87669457782879,103.82641085249254,120.37352222244922,2023-09-28
update_1630,3,2024-01-01,1215,285,0.5,101.02444724653424,89.14052509170958,88.42487444059445,96.300072451999,111.5559182523086,2023-12-29
update_1630,3,2024-04-01,1500,300,0.5,91.77847373354489,80.30677435523171,79.6126527895026,87.68106435798465,103.09417489601358,2024-03-29
update_1630,3,2024-07-01,1800,325,0.25,88.64144808282693,79.32425398561503,79.66272280074607,87.66541254285833,101.99231255226053,2024-06-28
update_1630,3,2024-10-01,2130,330,0.25,89.83260307075624,80.3029808811367,81.36895966802979,91.15919216654821,106.79300360312934,2024-09-28
update_1630,3,2025-01-01,2460,285,0.25,94.55731200945063,85.15088523855563,85.51412662702141,93.94184143699236,107.85265560712115,2024-12-29
update_1630,3,2025-04-01,2460,295,0.5,100.78699832290053,90.82507139716697,89.76033466071684,95.9269133350569,107.21842665505048,2025-03-29
update_1630,3,2025-07-01,2450,330,0.5,96.27626572478874,87.12333089107635,86.3026189828502,92.27223786835415,103.13826084451131,2025-06-28
update_1630,3,2025-10-01,2450,325,0.5,92.67870191189192,83.67775150725295,81.63060187681087,85.47446023435657,93.60770068129504,2025-09-27
update_1630,3,2026-01-01,2450,270,0.5,92.6787405474862,84.61219809117813,82.62077513813402,85.8688973508728,92.87969817268272,2025-12-27
update_1630,3,2026-04-01,2440,310,0.5,95.70519856441871,87.44100298712466,84.41758309041515,86.1771430438612,91.53317068462276,2026-03-28
update_1630,3,2026-07-01,2450,230,0.75,97.5738032253484,88.18826761789882,83.63222338900631,83.61981878062643,87.53867313891575,2026-06-27
update_1730,3,2023-01-01,0,280,0.0,,,,,,
update_1730,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
update_1730,3,2023-07-01,560,330,0.25,93.42212840962254,87.1569393404356,87.87137079695454,95.00889346920619,106.65835903524277,2023-06-28
update_1730,3,2023-10-01,890,320,0.25,101.74536667376903,94.52811458714216,98.17256056149662,109.7159700061053,128.1891390478866,2023-09-28
update_1730,3,2024-01-01,1215,285,0.25,101.02444724653424,90.43349354696552,91.42006397568346,100.9535239633889,117.6055942781661,2023-12-29
update_1730,3,2024-04-01,1500,300,0.25,91.77847373354489,81.49910385403294,82.20972982352664,92.20675795188367,109.14871978977423,2024-03-29
update_1730,3,2024-07-01,1800,325,0.25,88.64144808282693,80.41470458872763,82.25204367543415,92.0886307009605,107.93908384410493,2024-06-28
update_1730,3,2024-10-01,2130,330,0.25,89.83260307075624,81.37112768173108,83.56168147298422,94.54555365368914,111.30182629906783,2024-09-28
update_1730,3,2025-01-01,2460,285,0.25,94.55731200945063,85.70004010573041,86.77636887031916,96.09517059339596,110.99161545227126,2024-12-29
update_1730,3,2025-04-01,2460,295,0.5,100.78699832290053,91.13358785907272,90.56262626650752,97.33864773354817,109.40654275694668,2025-03-29
