candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1230,1,2023-07-01,1645,866,0.5368781053141253,330,False,-0.0031998571140179474,"[0.5241561066066994, 0.0850720503016158, -0.02319566794392351, -0.03997001919245776, 0.08979467484091705, -0.1148691876267661]",2023-06-28,2022-02-24
cutoff_1230,1,2023-10-01,1975,1070,0.5537010690152834,320,False,0.05952598439438416,"[0.598768445223251, 0.10207950134663837, -0.036118944381272576, 0.014211420661359053, 0.13794249848833606, -0.16078668334811763]",2023-09-28,2022-02-24
cutoff_1230,1,2024-01-01,2300,1220,0.5367216198398527,285,False,0.031626146499209216,"[0.6671681629541223, 0.09652025268779094, -0.03484832814127102, 0.007426028888608425, 0.040760421604999895, -0.07926629389176622]",2023-12-29,2022-02-24
cutoff_1230,1,2024-04-01,2585,1379,0.540081234024251,300,False,0.06246090801287885,"[0.7131134790650615, 0.09301843445555391, -0.0064074956070813436, 0.01609812557243196, 0.04488270143187564, -0.08712310629728244]",2024-03-29,2022-02-24
cutoff_1230,1,2024-07-01,2885,1519,0.5291862141819745,325,False,0.036083239419109306,"[0.7503276261655067, 0.06520253712372673, -0.04760186599876974, 0.011581699824858877, 0.05984540937408431, -0.05415116172084969]",2024-06-28,2022-02-24
cutoff_1230,1,2024-10-01,3215,1709,0.5362125890750702,330,False,0.04557666247631208,"[0.6923854831516324, 0.04557999227146655, -0.04887558046928284, 0.059399123205807654, 0.07743639313085421, -0.08927443199510984]",2024-09-28,2022-02-24
cutoff_1230,1,2025-01-01,3545,1895,0.5397306043579462,285,False,0.06935395352544628,"[0.6705326972448655, 0.07584584522317374, -0.016437068679692086, 0.0653570525060664, 0.06955188688571422, -0.1267256980467955]",2024-12-29,2022-02-24
cutoff_1230,1,2025-04-01,3830,2008,0.5230572782554305,295,False,0.03362514731574595,"[0.7136536542488716, 0.06784994250345922, -0.027357957049797984, 0.03587787362971999, 0.05117727098883463, -0.0947408790233531]",2025-03-29,2022-02-24
cutoff_1230,1,2025-07-01,4125,2139,0.5141024443810583,330,False,0.01148531645994453,"[0.7371047524151995, 0.14019622922621497, -0.02937744982225631, -0.027274170644086375, 0.0288124460157066, -0.1011564649451192]",2025-06-28,2022-02-24
cutoff_1230,1,2025-10-01,4450,2335,0.5250827703528255,325,False,0.028293804479162035,"[0.7573537739128604, 0.1536494123968484, -0.023648819527033113, -0.0025069574033205555, 0.04660115947904449, -0.14656639143866695]",2025-09-27,2022-02-24
cutoff_1230,1,2026-01-01,4770,2463,0.5105758396565354,270,False,-0.03124279371398354,"[0.8059490273819465, 0.12193522505891229, -0.028519632359137022, -0.0493807290291267, 0.025015110157709266, -0.09954083725869481]",2025-12-27,2022-02-24
cutoff_1230,1,2026-04-01,5045,2607,0.5119813835553849,310,False,-0.042951117949816014,"[0.8294549446815177, 0.09119978407806525, -0.0266784669110191, -0.06586083080291648, 0.041636534457106016, -0.08222244529001353]",2026-03-28,2022-02-24
cutoff_1230,1,2026-07-01,5355,2757,0.5094385047944854,230,False,-0.04292509948544697,"[0.8394463233783268, 0.08207953416951731, 0.0042705490921064355, -0.0984451342083403, 0.03670120553796062, -0.06657326764363712]",2026-06-27,2022-02-24
cutoff_1230,3,2023-01-01,1050,329,0.321842949744062,280,False,-1.0393088075353096,"[0.3857232964619799, 0.09797093597074563, -0.062016494293251574, 0.018695343710111254, 0.08540370783581454, -0.13918884247794513]",2022-12-29,2022-02-24
cutoff_1230,3,2023-04-01,1330,470,0.3658762849952292,305,False,-0.785606787322205,"[0.39040541533885187, 0.04726975539786329, -0.04645640629244713, -0.008209479267375098, 0.16139773233688057, -0.14639425443636508]",2023-03-29,2022-02-24
cutoff_1230,3,2023-07-01,1635,605,0.3828920459976094,330,False,-0.5915502125235353,"[0.4399866194704979, -0.060310771353948994, -0.1672292352965353, -0.12126182656397932, 0.02856245209623904, -0.2437274162053007]",2023-06-28,2022-02-24
cutoff_1230,3,2023-10-01,1965,775,0.41006345821624496,320,False,-0.4967426357539755,"[0.49468310027306084, -0.0528377443255085, -0.13820229830742187, -0.07148930452424253, 0.06236877530541906, -0.27627847065574956]",2023-09-28,2022-02-24
cutoff_1230,3,2024-01-01,2290,882,0.3951129242096612,285,False,-0.5461804006808901,"[0.5610109868470808, -0.04767108227120211, -0.1058384157513927, -0.06305623055444627, -0.04473479684898762, -0.2632291125150427]",2023-12-29,2022-02-24
cutoff_1230,3,2024-04-01,2575,993,0.3946140307465135,300,False,-0.5481590243842724,"[0.6134325893762111, -0.045597926505534306, -0.0818973471817419, -0.07215026785534567, -0.014897680809010407, -0.31492067419242953]",2024-03-29,2022-02-24
cutoff_1230,3,2024-07-01,2875,1070,0.3741886395881561,325,False,-0.6190097335968736,"[0.6297354552634189, -0.05779794506811344, -0.11535828203669855, -0.06878359271901349, -0.045017606291276324, -0.30917278094370976]",2024-06-28,2022-02-24
cutoff_1230,3,2024-10-01,3205,1211,0.38219312261458716,330,False,-0.568046597586253,"[0.5411196203809839, -0.07300826357330237, -0.14317091173868404, -0.00515951390610499, -0.05084944236214497, -0.2780160822613268]",2024-09-28,2022-02-24
cutoff_1230,3,2025-01-01,3535,1355,0.3893186328690728,285,False,-0.5453734023921261,"[0.550778969136402, -0.039600177155713824, -0.11066729795624577, -0.023716851089431737, -0.04226022394018872, -0.31301394347079436]",2024-12-29,2022-02-24
cutoff_1230,3,2025-04-01,3820,1420,0.37033589692738,295,False,-0.5983556608299608,"[0.5520662004265829, -0.056714812926661584, -0.1309998516997961, -0.052611820606796145, -0.048774936921405034, -0.29195715668167727]",2025-03-29,2022-02-24
