policy,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
rolling_r30_m040,rolling,0.3,40,10,1.4723718247741824,0.27167050691244243,1.4617386388345293,20.44549267988599,76.04247623022141,350
rolling_r30_m040,rolling,0.3,40,20,1.5773214610212611,0.1901958525345622,1.5792051194569119,25.98177661674827,108.76952912016654,350
rolling_r30_m060,rolling,0.3,60,1,1.4423574013441323,0.5441672918229558,1.4424927219911694,2.6115189145290993,44.6451388737009,344
rolling_r30_m060,rolling,0.3,60,3,1.5393613846612948,0.39279351087771947,1.546623872006397,10.938687801891446,56.14914862584149,344
rolling_r30_m060,rolling,0.3,60,5,1.5523048725663104,0.3389558327081771,1.5558363837084612,16.99347459197035,66.03067983142898,344
rolling_r30_m060,rolling,0.3,60,10,1.538368108272242,0.2702198987246812,1.5388261626871444,19.789672706865733,84.32468583476995,344
rolling_r30_m060,rolling,0.3,60,20,1.8274815778066755,0.18929341710427605,1.8305400968658219,29.66863714365055,129.1658933532605,344
rolling_r30_m090,rolling,0.3,90,1,1.4841412327947339,0.5442874472099919,1.4811595036371359,2.6731517726199576,47.56719262046413,359
rolling_r30_m090,rolling,0.3,90,3,1.5952884670364225,0.3928699793332735,1.5908198680732666,12.07774452208293,62.11102125550776,359
rolling_r30_m090,rolling,0.3,90,5,1.643200265032301,0.3390354030011681,1.6337518105525735,19.000733430069396,75.2324193792939,359
rolling_r30_m090,rolling,0.3,90,10,1.6595868489962176,0.27022868182226617,1.6547311838412753,21.090980372294947,93.1966062330033,359
rolling_r30_m090,rolling,0.3,90,20,1.9109714895382606,0.18949366519902958,1.908448641307071,27.180230027994735,132.99964022228198,359
exponential_r18_m005,exponential,0.18,5,1,1.4442473690433961,0.5434391466392494,1.443660804438009,3.9767108983733492,51.21132778172782,251
exponential_r18_m005,exponential,0.18,5,3,1.6569250317662008,0.39193227091633465,1.6558084867568084,19.188507874484156,66.77065590470582,251
exponential_r18_m005,exponential,0.18,5,5,1.6864330210661467,0.3378261148952577,1.6812767880507042,26.821486900527347,69.48880486886264,251
exponential_r18_m005,exponential,0.18,5,10,1.5237413505130042,0.2693098573448143,1.5158622737234455,30.527118152282004,75.72914725410705,251
exponential_r18_m005,exponential,0.18,5,20,1.5855425794902396,0.18845585400334147,1.5869082789484565,40.5024983822834,97.99752407829128,251
exponential_r18_m010,exponential,0.18,10,1,1.4429590635173513,0.5440533614712089,1.4469872427079342,2.0671706982472386,49.7157726872907,214
exponential_r18_m010,exponential,0.18,10,3,1.5592992560595151,0.39257989146819416,1.5592302251608325,11.299271666082502,58.51902096855421,214
